,zipcode,borough,borocode,landuse,bldgarea,lotarea
2133,10002.0,MN,1.0,9.0,32980.0,2232500.0
2424,10002.0,MN,1.0,3.0,2948300.0,1206975.0
4587,10004.0,MN,1.0,8.0,2725731.0,7736692.0
6040,10009.0,MN,1.0,4.0,8942176.0,2675000.0
12813,10014.0,MN,1.0,7.0,281617.0,1096075.0
21284,10024.0,MN,1.0,9.0,3936.0,2262500.0
22501,10025.0,MN,1.0,9.0,5000.0,2844800.0
22591,10025.0,MN,1.0,7.0,1560.0,1093084.0
23780,10025.0,MN,1.0,9.0,0.0,1402000.0
25719,10027.0,MN,1.0,9.0,2865.0,1302350.0
27309,10028.0,MN,1.0,9.0,0.0,36590000.0
33639,10032.0,MN,1.0,9.0,1000.0,1560375.0
33254,10032.0,MN,1.0,9.0,0.0,1007100.0
33667,10033.0,MN,1.0,11.0,0.0,1901250.0
34081,10033.0,MN,1.0,9.0,20054.0,3293950.0
34488,10034.0,MN,1.0,9.0,151794.0,1004668.0
34637,10034.0,MN,1.0,9.0,0.0,11320000.0
34926,10034.0,MN,1.0,9.0,1200.0,1840475.0
35440,10035.0,MN,1.0,9.0,948.0,12300030.0
35770,10035.0,MN,1.0,7.0,0.0,3302500.0
35858,10035.0,MN,1.0,9.0,0.0,9000000.0
38528,10040.0,MN,1.0,9.0,4928.0,2795875.0
38860,10040.0,MN,1.0,9.0,0.0,2237500.0
38902,10044.0,MN,1.0,3.0,4786701.0,4231466.0
42060,10282.0,MN,1.0,11.0,0.0,22772335.0
42600,10301.0,SI,5.0,9.0,19102.0,2955000.0
44978,10301.0,SI,5.0,9.0,0.0,1862747.0
45278,10301.0,SI,5.0,9.0,330780.0,17948815.0
47831,10301.0,SI,5.0,9.0,111000.0,8103467.0
47924,10301.0,SI,5.0,8.0,521405.0,2299578.0
47970,10301.0,SI,5.0,8.0,240.0,2128899.0
58614,10303.0,SI,5.0,11.0,0.0,1502820.0
58562,10303.0,SI,5.0,11.0,0.0,1698840.0
56625,10303.0,SI,5.0,7.0,21500.0,1406988.0
58602,10303.0,SI,5.0,11.0,0.0,1622000.0
54730,10303.0,SI,5.0,6.0,737830.0,1916640.0
54294,10303.0,SI,5.0,5.0,12960.0,2300000.0
54764,10303.0,SI,5.0,7.0,233560.0,9166500.0
66389,10304.0,SI,5.0,8.0,502197.0,1809720.0
66434,10304.0,SI,5.0,9.0,7410.0,1942776.0
67895,10305.0,SI,5.0,8.0,476145.0,3314434.0
67948,10305.0,SI,5.0,9.0,135000.0,5127538.0
75788,10305.0,SI,5.0,9.0,15110.0,10696630.0
76697,10305.0,SI,5.0,8.0,236591.0,9045662.0
86269,10306.0,SI,5.0,9.0,1500.0,1207105.0
90226,10306.0,SI,5.0,5.0,444158.0,1015361.0
87516,10306.0,SI,5.0,9.0,5000.0,1060000.0
87500,10306.0,SI,5.0,9.0,8170.0,14489000.0
84978,10306.0,SI,5.0,9.0,45570.0,8989727.0
80531,10306.0,SI,5.0,9.0,1500.0,2006784.0
84339,10306.0,SI,5.0,9.0,3000.0,1742217.0
78482,10306.0,SI,5.0,9.0,2750.0,2350000.0
78158,10306.0,SI,5.0,9.0,3600.0,31850000.0
84558,10306.0,SI,5.0,9.0,15600.0,2626668.0
94318,10307.0,SI,5.0,9.0,2600.0,3369802.0
94465,10307.0,SI,5.0,9.0,1875.0,4696428.0
99456,10308.0,SI,5.0,9.0,11359.0,17903160.0
100975,10308.0,SI,5.0,5.0,5218.0,2200000.0
114881,10309.0,SI,5.0,9.0,1008.0,3275000.0
114547,10309.0,SI,5.0,7.0,5050.0,1434550.0
114283,10309.0,SI,5.0,9.0,25168.0,4107618.0
113931,10309.0,SI,5.0,8.0,757858.0,11076557.0
113442,10309.0,SI,5.0,6.0,16625.0,1400577.0
112954,10309.0,SI,5.0,9.0,2455.0,1070242.0
112828,10309.0,SI,5.0,9.0,2573.0,1494523.0
114544,10309.0,SI,5.0,5.0,349503.0,3014056.0
110621,10309.0,SI,5.0,9.0,0.0,1215324.0
110313,10309.0,SI,5.0,9.0,0.0,1680676.0
109342,10309.0,SI,5.0,9.0,3616.0,5227000.0
109198,10309.0,SI,5.0,7.0,180000.0,4000000.0
108262,10309.0,SI,5.0,9.0,1839.0,2899570.0
108257,10309.0,SI,5.0,11.0,0.0,8537766.0
106318,10309.0,SI,5.0,6.0,13433.0,7649136.0
110718,10309.0,SI,5.0,7.0,18000.0,12369565.0
115615,10310.0,SI,5.0,8.0,65530.0,2627539.0
130242,10312.0,SI,5.0,9.0,14655.0,7431336.0
124028,10312.0,SI,5.0,11.0,0.0,10323720.0
127372,10312.0,SI,5.0,9.0,0.0,1136044.0
122311,10312.0,SI,5.0,9.0,0.0,4861000.0
121774,10312.0,SI,5.0,11.0,0.0,1150244.0
