zipcode,neighborhood
10001,NOMAD / Chelsea
10002,Lower East Side
10003,NOHO / Union Square
10004,Bowling Green
10005,Wall Street
10006,Lower Manhattan
10007,City Hall
10009,East Village
10010,Flat Iron / Gramercy
10011,Chelsea
10012,SOHO / NOLITA
10013,TriBeCa / Little Italy
10014,Greenwich Village
10016,Murray Hill / Kips Bay
10017,Midtown East
10018,Garment District
10019,Midtown / Hell's Kitchen
10020,Midtown
10021,Lenox Hill / Upper East Side
10022,Midtown East
10023,Lincoln Square
10024,Upper West Side
10025,Manhattan Valley
10026,South Harlem
10027,Morningside Heights / Harlem
10028,Yorkville
10029,Upper East Side / East Harlem
10030,Striver's Row
10031,Hamilton Heights / Sugar Hill
10032,Washington Heights
10033,Hudson Heights
10034,Inwood
10035,East Harlem / Randall's Island
10036,Midtown / Hell's Kitchen
10037,East Harlem
10038,Financial District
10039,Harlem
10040,Fort George
10044,Roosevelt Island
10045,Financial District
10055,Midtown
10065,Lenox Hill
10069,Westend
10075,Upper East Side
10103,Midtown
10105,Midtown
10106,Midtown
10110,Midtown
10118,Koreatown
10119,Penn Station
10120,Penn Station
10121,Penn Station
10122,Penn Station
10123,Penn Station
10128,Carnegie Hill
10151,Midtown
10152,Midtown East
10155,Midtown East
10158,Murray Hill
10165,Midtown East
10169,Midtown East
10170,Midtown East
10175,Midtown
10176,Midtown
10271,Lower Manhattan
10278,TriBeCa
10280,Battery Park City
10281,Lower Manhattan
10282,Battery Park City
10301,St. George / Tompkinsville
10302,Elm Park
10303,Arlington / Mariner's Harbor
10304,Todt Hill / Gryme's Hill
10305,Arrochar / Dongan Hills
10306,New Dorp / Bay Terrace
10307,Tottenville
10308,Great Kills
10309,Rossville / Pleasant Plains
10310,Port Richmond / West Brighton
10312,Arden Heights / Annadale
10314,Bulls Head / New Springville
10451,South Bronx
10452,Highbridge
10453,Morris Heights / University Heights
10454,Mott Haven
10455,South Bronx
10456,Morrisania
10457,West Bronx / Mt. Hope
10458,Fordham
10459,Foxhurst
10460,West Farms / Van Nest
10461,Morris Park / Pelham Bay
10462,Little Yemen / Parkchester
10463,Spuyten Duyvil / Kingsbridge
10464,Pelham Bay Park
10465,Throgs Neck
10466,Wakefield / Edenwald
10467,Norwood / Olinville
10468,Kingsbridge Heights
10469,Laconia / Pelham Gardens
10470,Woodlawn Heights
10471,Fieldston / North Riverdale
10472,Soundview
10473,Clason Point / Shorehaven
10474,Hunts Point
10475,Co-op City
11001,Floral Park
11004,Glen Oaks
11005,Glen Oaks
11040,Hillside Manor / Hyde Park
11101,Long Island City
11102,Astoria
11103,Astoria
11104,Sunnyside
11105,Ditmars / Steinway
11106,Astoria / Dutch Kills
11109,Long Island City
11201,Brooklyn Heights
11203,East Flatbush
11204,Mapleton / Bensonhurst
11205,Clinton Hill / BK Navy Yard
11206,Williamsburg / Bed-Stuy
11207,East New York
11208,East New York / Cypress Hills
11209,Bay Ridge
11210,East Midwood
11211,Williamsburg
11212,Brownsville
11213,Crown Heights
11214,Bath Beach
11215,Park Slope
11216,Crown Heights / Bed-Stuy
11217,Boerum Hill
11218,Kensington / Windsor Terrace
11219,Borough Park
11220,Sunset Park
11221,Bed-Stuy / Bushwick
11222,Greenpoint
11223,Gravesend
11224,Seagate / Brighton Beach
11225,Prospect Lefferts Garden
11226,Flatbush
11228,Dyker Heights
11229,Madison / Sheepshead Bay
11230,Midwood
11231,Carroll Gardens / Red Hook
11232,Sunset Park
11233,Stuyvesant Heights / Weeksville
11234,Flatlands / Mill Basin
11235,Brighton Beach / Manhattan Beach
11236,Canarsie
11237,Bushwick / East Williamsburg
11238,Prospect Heights
11239,Starrett City
11241,Brooklyn Heights
11249,Williamsburg
11251,Brooklyn Navy Yard
11354,Flushing
11355,Flushing / Kew Gardens
11356,College Point
11357,Whitestone / Clearview
11358,Murray Hill / Auburndale
11359,Fort Totten Park
11360,Bay Terrace
11361,Auburndale / Bayside
11362,Little Neck
11363,Little Neck
11364,Oakland Gardens
11365,Utopia
11366,Hillcrest / Fresh Meadows
11367,Kew Gardens Hills
11368,Corona
11369,East Elmhurst
11370,Astoria Heights / Jackson Heights
11372,Jackson Heights
11373,Elmhurst
11374,Rego Park
11375,Forest Hills
11377,Woodside
11378,Maspeth
11379,Middle Village
11385,Ridgewood / Glendale
11411,Cambria Heights
11412,St. Albins / Hollis
11413,Brookville / Laurelton
11414,Howard Beach
11415,Kew Gardens
11416,Woodhaven / Ozone Park
11417,Ozone Park
11418,Richmond Hill
11419,South Richmond Hill
11420,South Ozone Park
11421,Woodhaven
11422,Rosedale
11423,Hollis / Holliswood
11426,Floral Park / Bellerose Manor
11427,Hollis Hills
11428,Queens Village
11429,Queens Village
11430,JFK Airport
11432,Jamaica Hills
11433,Jamaica
11434,Springfield Gardens
11435,Briarwood
11436,South Jamaica
11691,Far Rockaway / Edgemere
11692,Arverne
11693,Hammels
11694,Seaside / Belle Harbor
11695,Fort Tilden
11697,Breezy Point
12345,Secret Post Office Zipcode!
